Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Oscarinin;TOP;FNC;GX;Odoamne;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Blue;00:28:42;Neeko;Orianna;Rell;Sejuani;KSante;Twisted_Fate;Win;14;11;3;1;16;1;1;8;9;244;0;0;8.5;11937;416;20.6;19;6;5;2;1;0.66;0.21;0.07;0.17;8.3;8841;7506;816;519;308;11.9;0.31;64.3;0;0;0;0;0;-414;-9;-549;-1;0;7631;7631;3154;0;34103;277;17;1446;18146;26;3;20;0;50
Razork;JUNGLE;FNC;GX;Peach;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Blue;00:28:42;Rumble;Kalista;Azir;Zeri;Rell;Sejuani;Win;14;11;3;1;14;1;0;12;Perfect_KDA;164;152;0;5.7;9755;340;16.8;32;9;8;6;6;1.11;0.31;0.21;0.28;14;8115;1658;6182;275;283;10.9;0.45;92.9;0;0;0;0;0;-409;4;-804;-1;0;1445;1445;11347;0;33886;409;35;304;17887;0;7;25;0;0
Humanoid;MID;FNC;GX;Jackies;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Blue;00:28:42;Varus;Vi;KSante;Twisted_Fate;Azir;Akali;Win;14;11;3;1;17;9;3;5;4.7;304;27;0;10.6;15610;544;27;24;10;5;1;1;0.84;0.35;0.03;0.17;10.5;31047;1002;29250;795;1082;41.7;0.49;100;1;1;1;0;0;326;15;-950;-1;0;18298;18298;3829;0;16922;0;17;252;21370;89;3;19;100;50
Noah;ADCARRY;FNC;GX;Patrik;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Blue;00:28:42;Taliyah;Renata_Glasc;Lucian;Rakan;Lucian;Zeri;Win;14;11;3;1;15;3;2;6;4.5;270;16;0;9.4;13239;461;22.9;54;12;22;3;3;1.88;0.42;0.1;0.77;23.7;20591;14344;4940;1307;717;27.7;0.31;64.3;0;1;0;0;0;381;-4;-793;-1;0;4527;4527;1306;0;4981;0;3;44;11053;89;7;20;200;450
Jun;SUPPORT;FNC;GX;IgNar;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Blue;00:28:42;Yone;Braum;Nami;Akali;Nami;Rakan;Win;14;11;3;1;12;0;1;11;11;25;0;0;0.9;7358;256;12.7;99;52;16;14;14;3.45;1.81;0.49;0.56;43.4;5822;746;5024;52;203;7.8;0.38;78.6;0;0;0;0;0;-21;-8;97;0;0;959;959;5899;4716;2273;1199;19;117;5497;38;16;32;0;0
Odoamne;TOP;GX;FNC;Oscarinin;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Red;00:28:42;Orianna;Neeko;Sejuani;Rell;Twisted_Fate;KSante;Loss;7;3;1;0;16;0;2;4;2;256;8;0;8.9;10956;382;22.9;32;10;7;4;3;1.11;0.35;0.14;0.24;13.4;14405;6398;7783;224;502;30.3;0.14;57.1;0;0;0;0;0;414;9;549;1;0;3335;3335;4165;0;11563;0;43;230;14700;97;5;23;0;0
Peach;JUNGLE;GX;FNC;Razork;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Red;00:28:42;Kalista;Rumble;Zeri;Azir;Sejuani;Rell;Loss;7;3;1;0;13;2;5;5;1.4;141;126;0;4.9;8606;300;18;41;13;7;11;9;1.43;0.45;0.38;0.24;17.2;7042;3805;2781;456;245;14.8;0.24;100;0;0;0;0;0;409;-4;804;1;0;2346;2346;9994;228;32140;0;15;284;26365;100;12;26;50;50
Jackies;MID;GX;FNC;Humanoid;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Red;00:28:42;Vi;Varus;Twisted_Fate;KSante;Akali;Azir;Loss;7;3;1;0;15;5;3;2;2.3;197;4;0;6.9;11091;386;23.2;18;7;1;4;3;0.63;0.24;0.14;0.03;7.5;16079;1102;14977;0;560;33.8;0.24;100;0;1;0;0;0;-326;-15;950;1;0;1538;1538;713;0;17941;0;1;94;26410;131;5;21;500;100
Patrik;ADCARRY;GX;FNC;Noah;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Red;00:28:42;Renata_Glasc;Taliyah;Rakan;Lucian;Zeri;Lucian;Loss;7;3;1;0;15;0;3;2;0.7;316;24;0;11;11071;386;23.1;26;10;5;3;3;0.91;0.35;0.1;0.17;10.9;7297;5617;1660;20;254;15.3;0.07;28.6;0;0;0;0;0;-381;4;793;1;0;1661;1661;4025;559;8767;0;2;194;17658;89;4;18;0;150
IgNar;SUPPORT;GX;FNC;Jun;30.03.2024;1;1;v14.6;Spring_Playoffs_24;1;2;3;4;Red;00:28:42;Braum;Yone;Akali;Nami;Rakan;Nami;Loss;7;3;1;0;10;0;1;5;5;31;0;0;1.1;6152;214;12.8;122;83;13;17;15;4.25;2.89;0.59;0.45;51;2779;551;1756;472;97;5.8;0.17;71.4;0;0;0;0;0;21;8;-97;0;0;270;270;3309;1285;11190;2089;11;48;12088;0;19;34;0;0
Oscarinin;TOP;FNC;GX;Odoamne;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;2;3;5;Blue;00:27:28;Neeko;Kalista;Vi;Rell;RekSai;Twisted_Fate;Win;18;7;2;0;15;5;1;7;12;202;8;0;7.4;11143;406;21.1;14;5;3;1;1;0.51;0.18;0.04;0.11;6.9;9541;5288;3998;255;347;13.5;0.44;66.7;0;1;0;0;0;-955;-8;-193;0;0;5296;5296;20673;0;35097;0;15;91;32841;42;2;16;300;50
Razork;JUNGLE;FNC;GX;Peach;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;2;3;5;Blue;00:27:28;Rumble;Orianna;Azir;Zeri;Vi;Sejuani;Win;18;7;2;0;13;1;4;8;2.3;154;141;0;5.6;8990;327;17.1;36;9;7;7;7;1.31;0.33;0.25;0.25;17.8;7822;7310;0;512;285;11;0.33;50;0;0;0;0;0;-263;-9;-667;0;0;2128;2128;11365;0;34164;0;23;241;23542;113;7;24;0;0
Humanoid;MID;FNC;GX;Jackies;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;2;3;5;Blue;00:27:28;Varus;KSante;Jinx;Yone;Azir;Yone;Win;18;7;2;0;15;3;5;11;2.8;218;8;0;7.9;10545;384;20;20;6;8;1;0;0.73;0.22;0.04;0.29;9.9;19743;462;18225;1056;719;27.9;0.51;77.8;1;0;0;0;0;305;7;-751;-1;0;3192;3192;1690;0;16794;0;17;159;20227;205;3;22;0;100
Noah;ADCARRY;FNC;GX;Patrik;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;2;3;5;Blue;00:27:28;Rakan;Renata_Glasc;Tahm_Kench;Sejuani;Jinx;Zeri;Win;18;7;2;0;15;9;1;7;16;304;24;0;11.1;15541;566;29.5;44;12;12;4;4;1.6;0.44;0.15;0.44;21.8;28979;25766;1543;1670;1055;40.9;0.58;88.9;1;1;1;0;0;59;4;-868;-1;0;5460;5460;5119;0;6674;0;19;183;11062;26;6;25;750;100
Jun;SUPPORT;FNC;GX;IgNar;30.03.2024;1;1;v14.6;Spring_Playoffs_24;2;2;3;5;Blue;00:27:28;Nautilus;Braum;RekSai;Twisted_Fate;Tahm_Kench;Rell;Win;18;7;2;0;12;0;1;12;12;32;0;0;1.2;6494;236;12.3;88;47;10;13;13;3.2;1.71;0.47;0.36;43.6;4800;533;4184;83;175;6.8;0.44;66.7;0;0;0;0;0;-299;1;591;1;0;385;385;8035;1194;19457;1672;15;107;17425;27;15;26;0;0
